Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дуплій,Іван,Йосипович,Чоловік,16-08-1976,Ді-джей,місто Липовець,"набережна Пассіонарії, буд. 570 кв. 416, Білогірськ, 37109",+380 59 962-01-98,vzakharenko@example.com
Чалий,Андрій,Романович,Чоловік,20-11-1966,Фрілансер,місто Долинська,"набережна Старопортофранківська, буд. 3 кв. 4, Буча, 48944",+380 (66) 623-97-24,sirchenkokhrystyna@example.net
Алексійчук,Григорій,Ігнатович,Чоловік,21-10-1937,Епідеміолог,місто Белз,"проспект Тупиковий 2-й, буд. 6 кв. 0, Жовті Води, 62381",044 260-50-10,pavloudovenko@example.org
Бакуменко,Демʼян,Ростиславович,Чоловік,25-11-1982,Кінокритик,село Новоукраїнка,"провулок Колонтаївська, буд. 65 кв. 74, Лисичанськ, 40771",070 081-25-27,ievhen46@example.org
Сиротенко,Орест,Дмитрович,Чоловік,22-11-1953,Фізик,село Хмельницький,"проспект Висока, буд. 460, Харків, 99239",+380 40 351-99-80,sofiia49@example.org
Тесленко,Левко,Зиновійович,Чоловік,16-04-1973,М'ясник,селище Радивилів,"вулиця Станційна 3-тя, буд. 72, Українка , 14165",+380 61 374 69 06,ivanchenkoivan@example.org
Каденюк,Миколай,Пилипович,Чоловік,21-06-1965,Паблік рилейшнз,селище Тернопіль,"проспект Троїцького Миколи, буд. 92 кв. 61, Бердянськ, 85387",+380 (63) 909-44-45,dan72@example.net
Хмара,Аарон,Болеславович,Чоловік,18-08-1948,Стиліст,хутір Сокаль,"парк Матроська Слобідка, буд. 76, Кривий Ріг, 17435",+380 56 642-71-88,antonneporozhnii@example.net
Туркало,Климент,Трохимович,Чоловік,28-02-1948,Кур'єр,село Сімферополь,"вулиця Авіаційна, буд. 001 кв. 888, Радомишль, 34146",077 711-63-17,kriabets@example.com
Влох,Богдан,Тарасович,Чоловік,09-02-1964,Конструктор,село Чигирин,"узвіз Дорожня, буд. 28, Мерефа, 98536",+380 87 908-65-45,tsarenkoliubov@example.net
Барабаш,Валерій,Євгенійович,Чоловік,30-07-1948,Агроном,хутір Волноваха,"парк 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 66, Рожище, 55817",899 78 26,ztkach@example.org
Дубенко,Венедикт,Яремович,Чоловік,21-09-1962,Фармацевт,місто Решетилівка,"сквер Агрономічний, буд. 95 кв. 50, Бунге , 44766",007 727-97-29,arkadii15@example.org
Токар,Леопольд,Кирилович,Чоловік,04-08-1989,Співак,місто Галич,"узвіз Лінія 47-ма, буд. 7 кв. 773, Павлоград, 91831",+380 89 121-84-51,orysia86@example.com
Токар,Гордій,Тимофійович,Чоловік,28-08-2001,Графік,місто Тульчин,"сквер Яблочкіної, буд. 5 кв. 96, Кам'янка-Бузька, 31302",775-50-89,volodymyralytvynenko@example.net
Андрейко,Лесь,Ігнатович,Чоловік,08-08-1961,Стиліст,хутір Покровськ,"площа Спиридонівська, буд. 87, Голубівка, 98057",+380 68 423-62-47,snizhanasych@example.org
Власенко,Олександр,Давидович,Чоловік,02-08-1960,Етнограф,селище Слов'янськ,"вулиця Яші Гордієнка, буд. 5 кв. 99, Львів, 22294",+380 68 828-36-65,halynababiuk@example.net
Рябець,Прохір,Васильович,Чоловік,12-12-1950,Астрофізик,хутір Токмак,"шосе Куликове поле, буд. 06, Скалат, 79409",+380 83 897-81-82,onysym18@example.org
Вертипорох,Аркадій,Микитович,Чоловік,09-06-2006,Фрілансер,місто Тетіїв,"набережна Ланжеронівський узвіз, буд. 36, Ірпінь, 07117",086 485-29-99,havriushenkosemen@example.net
Талан,Вʼячеслав,Аркадійович,Чоловік,04-10-1978,Медик,село Хмельницький,"парк 8-ма Лінія Дачі Ковалевського, буд. 1 кв. 32, Олешки, 24534",036 209 09 73,hlib66@example.org
Гавриш,Опанас,Омелянович,Чоловік,14-10-1973,Фрілансер,селище Новгород-Сіверський,"вулиця 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 63, Сквира, 24247",+380 52 048-26-21,mivashchenko@example.net
Луценко,Остап,Геннадійович,Чоловік,18-01-1980,Дантист,місто Зіньків,"узвіз Осипова, буд. 71, Дебальцеве, 96708",116-32-88,havryletssvitlana@example.com
Макаренко,Леонід,Васильович,Чоловік,29-08-1941,Мінералог,хутір Любомль,"узвіз Партизанська, буд. 2, Коростишів, 20300",+380 (07) 778-79-25,symontsybulenko@example.com
Короленко,Панас,Григорійович,Чоловік,15-03-1953,Філолог,село Путивль,"провулок Ліверпульський, буд. 05 кв. 83, Городок, 21846",+380 (00) 035-46-91,ivan80@example.com
Бабій,Альберт,Леонтійович,Чоловік,01-02-2005,Флорист,місто Вінниця,"площа Бориса Дерев'янка, буд. 69 кв. 1, Бориспіль, 23495",+380 (33) 590-03-28,fromanenko@example.com
